row_idx,product_id,shade_id,shade_name,brand_name,product_name,page_url,chip_url,center_url_used,image_file,status,error
31,P1000203314,352449,"Satin - 968 Le Lie De Vin (3,5g)",GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,https://www.sephora.fr/p/rouge-g---la-recharge---le-rouge-a-levres-soin-personnalisable-P1000203314.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733310/352449-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733310/352449-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000203314__352449.avif,ok,
32,P1000203314,352450,"Velvet - 879 Le Cerise Noire (3,5g)",GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,https://www.sephora.fr/p/rouge-g---la-recharge---le-rouge-a-levres-soin-personnalisable-P1000203314.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733311/352450-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733311/352450-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000203314__352450.avif,ok,
33,P1000203314,352451,"Velvet - 258 Bois De Rose (3,5g)",GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,https://www.sephora.fr/p/rouge-g---la-recharge---le-rouge-a-levres-soin-personnalisable-P1000203314.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733312/352451-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733312/352451-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000203314__352451.avif,ok,
34,P1000203314,352452,"Satin - 880 Le Rouge Rubis (3,5g)",GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,https://www.sephora.fr/p/rouge-g---la-recharge---le-rouge-a-levres-soin-personnalisable-P1000203314.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733313/352452-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733313/352452-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000203314__352452.avif,ok,
35,P1000203314,352454,"Velvet - 770 Le Rouge Grenadine (3,5g)",GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,https://www.sephora.fr/p/rouge-g---la-recharge---le-rouge-a-levres-soin-personnalisable-P1000203314.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733315/352454-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733315/352454-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000203314__352454.avif,ok,
36,P1000203314,352455,"Velvet - 940 Le Brun Chaud (3,5g)",GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,https://www.sephora.fr/p/rouge-g---la-recharge---le-rouge-a-levres-soin-personnalisable-P1000203314.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733316/352455-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733316/352455-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000203314__352455.avif,ok,
37,P1000203314,352456,"Velvet - 880 Le Rouge Rubis (3,5g)",GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,https://www.sephora.fr/p/rouge-g---la-recharge---le-rouge-a-levres-soin-personnalisable-P1000203314.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733317/352456-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733317/352456-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000203314__352456.avif,ok,
38,P1000203314,352457,"Satin - 520 Le Rouge Profond (3,5g)",GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,https://www.sephora.fr/p/rouge-g---la-recharge---le-rouge-a-levres-soin-personnalisable-P1000203314.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733318/352457-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733318/352457-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000203314__352457.avif,ok,
39,P1000203314,352458,"Velvet - 539 Le Tonka Halé (3,5g)",GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,https://www.sephora.fr/p/rouge-g---la-recharge---le-rouge-a-levres-soin-personnalisable-P1000203314.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733319/352458-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733319/352458-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000203314__352458.avif,ok,
40,P1000203314,352459,"Velvet - 772 Le Rose Bourbon (3,5g)",GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,https://www.sephora.fr/p/rouge-g---la-recharge---le-rouge-a-levres-soin-personnalisable-P1000203314.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733320/352459-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733320/352459-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000203314__352459.webp,ok,
