product_id,shade_id,brand_name,product_name,shade_name,chip_hex,chip_rgb,r,g,b,L_lab,a_lab,b_lab,C_lab,H_lab_deg,cluster_id
P1000203314,352468,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 886 Le Fuchsia Vibrant (3,5g)",#c31f4b,"195,31,75",195,31,75,42.90425776842055,63.304979426493546,18.1257267973005,65.84878428732871,15.977681417006464,3
P1000203314,352470,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 159 Le Beige Amande (3,5g)",#9d4b3b,"157,75,59",157,75,59,42.02787559160465,32.756732409357895,25.464935396185705,41.49055859915831,37.86133286765261,29
P1000203314,352472,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 520 Le Rouge Profond (3,5g)",#ac112a,"172,17,42",172,17,42,36.633924658870114,58.30091175771437,29.91052527664,65.52584096450283,27.159502175927173,24
P1000203314,352473,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 888 Le Rouge Brun (3,5g)",#9a282a,"154,40,42",154,40,42,35.1169216660682,46.86287900190636,27.207400731171727,54.18830208535676,30.13836516361914,0
P1000203314,352474,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 409 Le Rose Indien (3,5g)",#d03f49,"208,63,73",208,63,73,48.82228332521906,57.18343753746829,27.497765027633942,63.45134049109212,25.68147703847524,14
P1000203314,352475,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 08 Le Nu (3,5g)",#cc6357,"204,99,87",204,99,87,54.50410718636883,40.59654117980583,26.44354174557434,48.44935557686606,33.079185337105855,4
P1000203314,352476,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 919 Le Rouge Cassis (3,5g)",#9a0a36,"154,10,54",154,10,54,32.603321715629015,55.20353396254818,16.402565433617866,57.5888384564086,16.548206151768056,3
P1000203314,352478,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 319 Le Moka Chaud (3,5g)",#c95f4e,"201,95,78",201,95,78,53.119265556018206,40.821703082724255,29.74567980966292,50.509572458229016,36.07981939377135,4
P1000203314,352479,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 19 Le Brun Intense (3,5g)",#693229,"105,50,41",105,50,41,27.967728807623168,23.6688389873439,17.05229021196706,29.17181071654549,35.770983850830305,28
P1000203314,352480,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 518 Le Rose Blush (3,5g)",#e16465,"225,100,101",225,100,101,58.09967612262274,48.81991340884589,23.686133087691253,54.26248101492442,25.881437044892493,16
P1000203314,352481,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 521 Le Grège Rosé (3,5g)",#b9575a,"185,87,90",185,87,90,49.34010864434048,39.84075069816667,17.328531401067803,43.44609783065979,23.506385590728087,1
P1000203314,352482,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 11 Le Beige Noisette (3,5g)",#c0675a,"192,103,90",192,103,90,53.65161110552263,34.18793713434498,23.271503065821708,41.35671530047416,34.242860171105576,25
P1000203314,352483,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 131 Le Beige Praline (3,5g)",#ce7367,"206,115,103",206,115,103,58.38273593706128,34.44169570438488,22.42981844007,41.10142525810933,33.07379422650126,25
P1000203314,352484,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 15 Le Marron Glacé (3,5g)",#884935,"136,73,53",136,73,53,38.30111904063602,24.73900574057076,23.697772499255564,34.25788706938106,43.76851670639917,29
P1000203314,352485,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 235 Le Rouge Sienne (3,5g)",#b42d1f,"180,45,31",180,45,31,40.706450130002,53.02294397502166,40.94544222277894,66.9922519892951,37.67608134505872,12
P1000203314,352486,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 06 Le Rose Brun (3,5g)",#bc4f52,"188,79,82",188,79,82,48.12823177557469,44.20105678347136,20.56425460517885,48.75061013200018,24.94989801581187,4
P1000203314,352487,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 03 Le Nude Intense (3,5g)",#aa403f,"170,64,63",170,64,63,42.114662280621054,43.44074289752081,23.620015517116588,49.44697439194165,28.534232196543712,24
P1000203314,352469,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 333 Le Rouge Framboise (3,5g)",#b80335,"184,3,53",184,3,53,38.75288414828844,63.57991645961084,26.18381284682876,68.76043798732559,22.38309936800704,24
P1000203314,352471,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 775 Le Rouge Bordeaux (3,5g)",#a42129,"164,33,41",164,33,41,36.25798269174316,52.29107322457238,29.65178552171843,60.1130994343461,29.5555142732818,24
